Ewe/V	<I>/mA	time/s
-3.5356531E-001	-1.118798743245678E-003	8.022449808715464E+001
-3.7043166E-001	-1.197388252402494E-003	8.039329808289040E+001
-3.8731691E-001	-1.149313292100510E-003	8.056249807861605E+001
-4.0408158E-001	-1.113415706162927E-003	8.073139807434927E+001
-4.2106509E-001	-1.128190744393343E-003	8.090009807008755E+001
-4.3790242E-001	-1.261814620948007E-003	8.106899806582078E+001
-4.5491293E-001	-1.225208532033836E-003	8.123829806154390E+001
-4.7173640E-001	-1.166929249936558E-003	8.140779805726197E+001
-4.8852223E-001	-1.216427271324420E-003	8.157659805299772E+001
-5.0555784E-001	-1.251279116763962E-003	8.174529804873600E+001
-5.2229607E-001	-1.281636801550325E-003	8.191419804446923E+001
-5.3910416E-001	-1.114324415618175E-003	8.208229804022267E+001
-5.5603093E-001	-1.185993655520491E-003	8.225059803597105E+001
-5.7289857E-001	-1.201272252053878E-003	8.241989803169417E+001
-5.8969986E-001	-1.117404309523743E-003	8.258879802742740E+001
-6.0661680E-001	-1.210759287440557E-003	8.275729802317073E+001
-6.2344986E-001	-1.208179362839183E-003	8.292629801890143E+001
-6.4035660E-001	-1.181266847268483E-003	8.309529801463214E+001
-6.5725166E-001	-1.221817314624724E-003	8.326389801037294E+001
-6.7411566E-001	-1.162247483184845E-003	8.343239800611627E+001
-6.9093376E-001	-1.176949107079469E-003	8.360129800184950E+001
-7.0780271E-001	-1.362810493260650E-003	8.377009799758525E+001
-7.2476494E-001	-1.325883767849232E-003	8.393859799332859E+001
-7.4154758E-001	-1.255644826179782E-003	8.410749798906181E+001
-7.5848705E-001	-1.293222499435375E-003	8.427659798478999E+001
-7.7543861E-001	-1.334450901778467E-003	8.444579798051564E+001
-7.9212910E-001	-1.111189441784767E-003	8.461419797626149E+001
-8.0912280E-001	-1.189042148130540E-003	8.478269797200483E+001
-8.2582343E-001	-1.213441710745946E-003	8.495109796775068E+001
-8.4274161E-001	-1.276518994479198E-003	8.511959796349402E+001
-8.5966706E-001	-1.130086224274279E-003	8.528879795921966E+001
-8.7639749E-001	-1.240495819537067E-003	8.545759795495542E+001
-8.9335424E-001	-1.242353251531683E-003	8.562619795069622E+001
-9.1023993E-001	-1.241926845000695E-003	8.579489794643450E+001
-9.2699873E-001	-1.133735638821568E-003	8.596329794218036E+001
-9.4394743E-001	-1.259951412280661E-003	8.613169793792622E+001
-9.6061957E-001	-1.223198122205789E-003	8.629989793367713E+001
-9.7771007E-001	-1.116884523694453E-003	8.646869792941288E+001
-9.9445361E-001	-1.189460724786422E-003	8.663789792513853E+001
-1.0113560E+000	-1.296581735860617E-003	8.680689792086923E+001
-1.0281786E+000	-1.369675888855625E-003	8.697509791662014E+001
-1.0449905E+000	-1.340960172929073E-003	8.714269791238621E+001
-1.0618737E+000	-1.290046295226568E-003	8.731109790813207E+001
-1.0786600E+000	-1.213240360018068E-003	8.747959790387540E+001
