cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      9.015203E+00
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.645996E-01  -5.580357E-06   4.751360E-01
 4.644775E-01  -5.580217E-06   4.767744E-01
 4.643555E-01  -5.580078E-06   4.784128E-01
 4.642334E-01  -5.580217E-06   4.800512E-01
 4.641113E-01  -5.580078E-06   4.816896E-01
 4.639893E-01  -5.579938E-06   4.833280E-01
 4.638672E-01  -5.580078E-06   4.849664E-01
 4.637451E-01  -5.579938E-06   4.866048E-01
 4.636230E-01  -5.579798E-06   4.882432E-01
 4.635010E-01  -5.579938E-06   4.898816E-01
 4.633789E-01  -5.579798E-06   4.915200E-01
 4.632568E-01  -5.579658E-06   4.931584E-01
 4.631348E-01  -5.579798E-06   4.947968E-01
 4.630127E-01  -5.579658E-06   4.964352E-01
 4.628906E-01  -5.579518E-06   4.980736E-01
 4.627686E-01  -5.579658E-06   4.997120E-01
 4.626465E-01  -5.579518E-06   5.013504E-01
 4.625244E-01  -5.579378E-06   5.029888E-01
 4.624023E-01  -5.579518E-06   5.046272E-01
 4.622803E-01  -5.579378E-06   5.062656E-01
 4.621582E-01  -5.579238E-06   5.079040E-01
 4.620361E-01  -5.579378E-06   5.095424E-01
 4.619141E-01  -5.579238E-06   5.111808E-01
 4.617920E-01  -5.579099E-06   5.128192E-01
 4.616699E-01  -5.579238E-06   5.144576E-01
 4.615479E-01  -5.579099E-06   5.160960E-01
 4.614258E-01  -5.578959E-06   5.177344E-01
 4.613037E-01  -5.579099E-06   5.193728E-01
 4.611816E-01  -5.578959E-06   5.210112E-01
 4.610596E-01  -5.578819E-06   5.226496E-01
 4.609375E-01  -5.578959E-06   5.242880E-01
 4.608154E-01  -5.578819E-06   5.259264E-01
 4.606934E-01  -5.578679E-06   5.275648E-01
 4.605713E-01  -5.578819E-06   5.292032E-01
 4.604492E-01  -5.578679E-06   5.308416E-01
 4.603271E-01  -5.578539E-06   5.324800E-01
 4.602051E-01  -5.578679E-06   5.341184E-01
 4.600830E-01  -5.578539E-06   5.357568E-01
 4.599609E-01  -5.578399E-06   5.373952E-01
 4.598389E-01  -5.578539E-06   5.390336E-01
 4.597168E-01  -5.578399E-06   5.406720E-01
 4.595947E-01  -5.578260E-06   5.423104E-01
 4.594727E-01  -5.578399E-06   5.439488E-01
 4.593506E-01  -5.578260E-06   5.455872E-01
 4.592285E-01  -5.578120E-06   5.472256E-01
 4.591064E-01  -5.578260E-06   5.488640E-01
 4.589844E-01  -5.578120E-06   5.505024E-01
 4.588623E-01  -5.577980E-06   5.521408E-01
 4.587402E-01  -5.578120E-06   5.537792E-01
 4.586182E-01  -5.577980E-06   5.554176E-01
 4.584961E-01  -5.577840E-06   5.570560E-01
 4.583740E-01  -5.577980E-06   5.586944E-01
 4.582520E-01  -5.577840E-06   5.603328E-01
 4.581299E-01  -5.577700E-06   5.619712E-01
 4.580078E-01  -5.577840E-06   5.636096E-01
 4.578857E-01  -5.577700E-06   5.652480E-01
 4.577637E-01  -5.577560E-06   5.668864E-01
 4.576416E-01  -5.577700E-06   5.685248E-01
