cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 5.134797E-01   1.829701E-04   1.384448E-01
 5.177364E-01   1.811085E-04   1.388544E-01
 5.219030E-01   1.786548E-04   1.392640E-01
 5.259660E-01   1.756135E-04   1.396736E-01
 5.299123E-01   1.719904E-04   1.400832E-01
 5.337291E-01   1.677937E-04   1.404928E-01
 5.374040E-01   1.630340E-04   1.409024E-01
 5.409251E-01   1.577236E-04   1.413120E-01
 5.442811E-01   1.518768E-04   1.417216E-01
 5.474611E-01   1.455102E-04   1.421312E-01
 5.504548E-01   1.386424E-04   1.425408E-01
 5.532524E-01   1.312935E-04   1.429504E-01
 5.558449E-01   1.234861E-04   1.433600E-01
 5.582239E-01   1.152445E-04   1.437696E-01
 5.603817E-01   1.065952E-04   1.441792E-01
 5.623111E-01   9.756558E-05   1.445888E-01
 5.640060E-01   8.818580E-05   1.449984E-01
 5.654608E-01   7.848648E-05   1.454080E-01
 5.666707E-01   6.850089E-05   1.458176E-01
 5.676317E-01   5.826284E-05   1.462272E-01
 5.683407E-01   4.780718E-05   1.466368E-01
 5.687953E-01   3.717035E-05   1.470464E-01
 5.689939E-01   2.638934E-05   1.474560E-01
 5.689358E-01   1.550216E-05   1.478656E-01
 5.686210E-01   4.547382E-06   1.482752E-01
 5.680506E-01  -6.436450E-06   1.486848E-01
 5.672262E-01  -1.740972E-05   1.490944E-01
 5.661503E-01  -2.833334E-05   1.495040E-01
 5.648264E-01  -3.916822E-05   1.499136E-01
 5.632586E-01  -4.987529E-05   1.503232E-01
 5.614518E-01  -6.041652E-05   1.507328E-01
 5.594117E-01  -7.075387E-05   1.511424E-01
 5.571447E-01  -8.085090E-05   1.515520E-01
 5.546581E-01  -9.067170E-05   1.519616E-01
 5.519598E-01  -1.001819E-04   1.523712E-01
 5.490582E-01  -1.093478E-04   1.527808E-01
 5.459626E-01  -1.181376E-04   1.531904E-01
 5.426829E-01  -1.265207E-04   1.536000E-01
 5.392294E-01  -1.344686E-04   1.540096E-01
 5.356132E-01  -1.419549E-04   1.544192E-01
 5.318458E-01  -1.489553E-04   1.548288E-01
 5.279391E-01  -1.554460E-04   1.552384E-01
 5.239056E-01  -1.614069E-04   1.556480E-01
 5.197582E-01  -1.668198E-04   1.560576E-01
 5.155100E-01  -1.716678E-04   1.564672E-01
 5.111746E-01  -1.759377E-04   1.568768E-01
 5.067659E-01  -1.796175E-04   1.572864E-01
 5.022978E-01  -1.826976E-04   1.576960E-01
 4.977847E-01  -1.851710E-04   1.581056E-01
 4.932408E-01  -1.870326E-04   1.585152E-01
 4.886807E-01  -1.882801E-04   1.589248E-01
 4.841190E-01  -1.889127E-04   1.593344E-01
 4.795701E-01  -1.889324E-04   1.597440E-01
 4.750486E-01  -1.883430E-04   1.601536E-01
 4.705689E-01  -1.871500E-04   1.605632E-01
 4.661452E-01  -1.853617E-04   1.609728E-01
 4.617917E-01  -1.829872E-04   1.613824E-01
 4.575223E-01  -1.800377E-04   1.617920E-01
